number,class,unit,word
1,ssa,1,hello
2,ssa,1,goodbye
3,ssa,1,kev
4,ssa,1,vic
5,ssa,1,mel
6,ssa,1,Ben
7,ssa,1,roddy
8,ssa,1,yes
9,ssa,1,no
10,ssa,1,happy
11,ssa,1,sad
12,ssa,1,angry
13,ssa,1,fine
14,ssa,1,tired
15,ssa,1,run
16,ssa,1,walk
17,ssa,1,jump
18,ssa,1,look
19,ssa,1,listen
20,ssa,1,sit down
21,ssa,1,stand up
22,ssa,1,make a circle
23,ssa,1,come here
24,ssa,2,book
25,ssa,2,bag
26,ssa,2,crayon
27,ssa,2,chair
28,ssa,2,table
29,ssa,2,take out
30,ssa,2,put away
31,ssa,2,cry
32,ssa,2,smile
33,ssa,2,clap
34,ssa,3,black
35,ssa,3,brown
36,ssa,3,white
37,ssa,3,pink
38,ssa,3,red
39,ssa,3,blue
40,ssa,3,green
41,ssa,3,yellow
42,ssa,3,orange
43,ssa,3,purple
44,ssa,3,plane
45,ssa,3,doll
46,ssa,3,puzzle
47,ssa,3,car
48,ssa,3,ball
49,ssa,3,boat
50,ssa,3,toy
51,ssa,3,drive
52,ssa,3,draw
53,ssa,3,go
54,ssa,4,cat
55,ssa,4,dog
56,ssa,4,cow
57,ssa,4,pig
58,ssa,4,horse
59,ssa,4,sheep
60,ssa,4,chicken
61,ssa,4,duck
62,ssa,4,rabbit
63,ssa,4,bird
64,ssa,4,fish
65,ssa,4,farm
66,ssa,4,grass
67,ssa,4,horn
68,ssa,4,tail
69,ssa,4,wing
70,ssa,4,water
71,ssa,4,tree
72,ssa,4,bush
73,ssa,4,barn
74,ssa,5,farmer
75,ssa,5,one
76,ssa,5,two
77,ssa,5,three
78,ssa,5,four
79,ssa,5,five
80,ssa,5,six
81,ssa,5,seven
82,ssa,5,eight
83,ssa,5,nine
84,ssa,5,ten
85,ssa,5,count
86,ssa,5,stop
87,ssa,5,wave
88,ssa,6,apple
89,ssa,6,banana
90,ssa,6,orange
91,ssa,6,peach
